id,entry_num,tag1,tag2,company,title,url
0,3051,Webエンジニア,学生インターン,TOWN株式会社,大学生同士でプログラミングが学べる大学生アルバイトWANTED！,https://www.wantedly.com/projects/16287?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bkeywords%5D%5B%5D=%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88&filter_params%5Blocations%5D%5B%5D=kanto&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=1&page=1&show_working_friends=false
1,21,新卒採用／オープン募集,,ディップ株式会社,23卒歓迎！毎年新卒も積極採用中のAI/新規事業開発チームで働いてみない？,https://www.wantedly.com/projects/525567?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bkeywords%5D%5B%5D=%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88&filter_params%5Blocations%5D%5B%5D=kanto&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=2&page=1&show_working_friends=false
2,868,エンジニア,,株式会社フェルマー,有給インターン・学生アルバイト長期歓迎！学生エンジニアウォンテッド！,https://www.wantedly.com/projects/42840?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bkeywords%5D%5B%5D=%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88&filter_params%5Blocations%5D%5B%5D=kanto&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=3&page=1&show_working_friends=false
3,42,23卒・24卒・25卒,学生インターン,弁護士ドットコム株式会社,チーム開発の経験を積みたいWebエンジニア志望のインターン募集！,https://www.wantedly.com/projects/836466?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bkeywords%5D%5B%5D=%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88&filter_params%5Blocations%5D%5B%5D=kanto&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=4&page=1&show_working_friends=false
4,19,エンジニア（有給インターン）,学生インターン,note株式会社,noteがエンジニアインターンを募集中！本気でスキルを身に付けたい方歓迎,https://www.wantedly.com/projects/1077813?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bkeywords%5D%5B%5D=%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88&filter_params%5Blocations%5D%5B%5D=kanto&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=5&page=1&show_working_friends=false
5,29,品質管理・テスター,,株式会社GIG,短時間からOK！テスター業務を行ってくれるインターン・アルバイトを募集,https://www.wantedly.com/projects/636681?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bkeywords%5D%5B%5D=%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88&filter_params%5Blocations%5D%5B%5D=kanto&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=6&page=1&show_working_friends=false
6,5,AIエンジニア,学生インターン,株式会社ＧＡＵＳＳ,文系OK/学生インターン募集中！AI開発に関わるPC作業・PJ進行サポート,https://www.wantedly.com/projects/1077921?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bkeywords%5D%5B%5D=%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88&filter_params%5Blocations%5D%5B%5D=kanto&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=7&page=1&show_working_friends=false
7,2,エンジニア,パートタイム・契約,REALITY株式会社,アルバイト募集！メタバース領域のサービス開発のUnityエンジニア,https://www.wantedly.com/projects/900758?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bkeywords%5D%5B%5D=%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88&filter_params%5Blocations%5D%5B%5D=kanto&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=8&page=1&show_working_friends=false
8,0,エンジニアリング,パートタイム・契約,WHILL Inc,自動運転モビリティのソフトウェア開発をおまかせできるアルバイト募集！,https://www.wantedly.com/projects/1068964?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bkeywords%5D%5B%5D=%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88&filter_params%5Blocations%5D%5B%5D=kanto&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=9&page=1&show_working_friends=false
9,71,AIエンジニア（インターン）,,株式会社Ridge-i,最先端の技術を学びながら社会実装したい！インターンAIエンジニア募集,https://www.wantedly.com/projects/518469?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bkeywords%5D%5B%5D=%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88&filter_params%5Blocations%5D%5B%5D=kanto&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=10&page=1&show_working_friends=false
